ITEM_VNUM~RANGE	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	MASKED_TYPE	MASKED_SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	GOLD	SHOP_BUY_PRICE	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	ADDON_TYPE3	ADDON_VALUE3	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON
8383	Afrodit	ITEM_QUEST	QUEST_ITEM	MASK_ITEM_TYPE_NONE	0	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	LOG	NONE	NONE	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	600	0	0	0	0	0	0	0	0
49000	Blue Armor Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_BODY	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_ARMOR	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	249	0	0	0	0	0	0	0	0
49001	Blue Weapon Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_WEAPON	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_WEAPON	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	232	241	244	235	238	0	0	0	0
49002	Blue Armor Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_BODY	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_ARMOR	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	249	0	0	0	0	0	0	0	0
49003	Blue Weapon Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_WEAPON	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_WEAPON	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	232	241	244	235	238	0	0	0	0
49004	Blue Armor Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_BODY	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_ARMOR	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	249	0	0	0	0	0	0	0	0
49005	Blue Weapon Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_WEAPON	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_WEAPON	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	232	241	244	235	238	0	0	0	0
49006	Blue Armor Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_BODY	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_ARMOR	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	249	0	0	0	0	0	0	0	0
49007	Blue Weapon Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_WEAPON	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_WEAPON	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	232	241	244	235	238	0	0	0	0
49008	Blue Armor Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_BODY	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_ARMOR	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	249	0	0	0	0	0	0	0	0
49009	Blue Weapon Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_WEAPON	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_WEAPON	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	232	241	244	235	238	0	0	0	0
49010	Blue Armor Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_BODY	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_ARMOR	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	249	0	0	0	0	0	0	0	0
49011	Blue Weapon Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_WEAPON	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_WEAPON	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	232	241	244	235	238	0	0	0	0
49012	Blue Armor Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_BODY	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_ARMOR	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	249	0	0	0	0	0	0	0	0
49013	Blue Weapon Effect	ITEM_COSTUME	COSTUME_EFFECT	MASK_ITEM_TYPE_COSTUMES	MASK_ITEM_SUBTYPE_COSTUMES_COSTUME_WEAPON	1	ANTI_STACK	NONE	WEAR_COSTUME_EFFECT_WEAPON	NONE	0	0	0	0	0	REAL_TIME	259200	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	232	241	244	235	238	0	0	0	0
56002	REFINE_POTION1	ITEM_MATERIAL	MATERIAL_LEATHER	MASK_ITEM_TYPE_ETC	MASK_ITEM_SUBTYPE_ETC_ETC	1	NONE	ITEM_STACKABLE	NONE	NONE	300	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
56003	REFINE_POTION2	ITEM_MATERIAL	MATERIAL_LEATHER	MASK_ITEM_TYPE_ETC	MASK_ITEM_SUBTYPE_ETC_ETC	1	NONE	ITEM_STACKABLE	NONE	NONE	300	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
56004	REFINE_POTION3	ITEM_MATERIAL	MATERIAL_LEATHER	MASK_ITEM_TYPE_ETC	MASK_ITEM_SUBTYPE_ETC_ETC	1	NONE	ITEM_STACKABLE	NONE	NONE	300	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
71051	Kadim_Efsun_Nesnesi	ITEM_QUEST	QUEST_ITEM	MASK_ITEM_TYPE_NONE	0	1	NONE	ITEM_STACKABLE	NONE	NONE	5	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
71052	Kadim_Efsun_Kuresi	ITEM_USE	USE_SPECIAL	MASK_ITEM_TYPE_NONE	0	1	NONE	ITEM_STACKABLE	NONE	NONE	3	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
80039	SIMYA_EFSUN	ITEM_EXTRACT	EXTRACT_DRAGON_HEART	MASK_ITEM_TYPE_DRAGON_STONE	MASK_ITEM_SUBTYPE_DRAGON_STONE_ETC	1	ANTI_SELL	NONE	NONE	NONE	1000000	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
83106	OtomatikAv	ITEM_USE	USE_AFFECT	MASK_ITEM_TYPE_NONE	0	1	ANTI_DROP | ANTI_SELL | ANTI_GIVE | ANTI_PKDROP | ANTI_STACK | ANTI_MYSHOP | ANTI_SAFEBOX	NONE	NONE	NONE	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	259200	0	0	0	0	0
84201	Kutu	ITEM_USE	USE_POTION	MASK_ITEM_TYPE_NONE	0	1	NONE	ITEM_STACKABLE	NONE	NONE	300	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
84202	Extra	ITEM_USE	USE_POTION	MASK_ITEM_TYPE_NONE	0	1	NONE	ITEM_STACKABLE	NONE	NONE	300	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
