VNUM	GOLD_MIN	GOLD_MAX	EXP	RESURRECTION_VNUM	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
101	630	945	66.3	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	805	1190	172.38	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	875	1330	225.42	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	1050	1575	331.5	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	1295	1960	490.62	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	1645	2450	702.78	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	2800	4200	1034.28	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	1120	1715	384.54	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	1960	2940	654.16	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	1540	2345	649.74	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	2660	3990	972.4	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	2135	3220	1701.7	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	3500	5250	2254.2	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	2065	3080	1613.3	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	3920	5880	2572.44	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	2100	3185	875.16	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	2800	4235	1962.48	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	2695	4060	1193.4	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	4060	6125	3023.28	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	4060	6125	1935.96	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	5845	8750	4508.4	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	2905	4340	1299.48	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	4340	6510	3235.44	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	3885	5810	1829.88	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	5600	8400	4296.24	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	5250	7875	2572.44	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	7105	10640	5569.2	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	5250	7875	2572.44	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	7840	11795	6205.68	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	1750	3500	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
